timestamp,monthly_return
2022-06-30,-0.2263770366320993
2022-07-31,0.01283160813017692
2022-08-31,-0.023104040201960996
2022-09-30,-0.04537065974807297
2022-10-31,0.06698163610861951
2022-11-30,-0.056817769123831074
2022-12-31,-0.017503708167104004
2023-01-31,0.1069873059118196
2023-02-28,0.007884579638378408
2023-03-31,0.07718627161390268
2023-04-30,0.010940332082356452
2023-05-31,-0.009802245891347372
2023-06-30,0.027528329237195948
2023-07-31,-0.021596121635316767
2023-08-31,-0.06447008954342515
2023-09-30,0.0196484286490608
2023-10-31,0.054861597625235126
2023-11-30,0.03398972403492029
2023-12-31,0.031077863137370487
2024-01-31,0.0001431961679572158
2024-02-29,0.03650824791707663
2024-03-31,0.013980872324550475
2024-04-30,-0.017148252843904976
2024-05-31,0.016808741785670156
2024-06-30,-0.016809707026125387
2024-07-31,-0.001041244993623236
2024-08-31,-0.041042918907926995
2024-09-30,0.0014140274174245793
2024-10-31,0.004123263592857196
2024-11-30,0.035869878088370166
2024-12-31,-0.02893205668119525
2025-01-31,0.005329669475858667
2025-02-28,-0.08884235927234418
2025-03-31,-0.045748932140159626
2025-04-30,0.003951280565173576
2025-05-31,0.06859359921686581
2025-06-30,0.02720619295542348
2025-07-31,0.06404379593980147
2025-08-31,-0.003643747871893699
2025-09-30,0.00860008287353975
2025-10-31,-0.025625154242380543
2025-11-30,-0.08007416508097143
2025-12-31,-0.00345005856096392
2026-01-31,-0.05843436291272652
2026-02-28,-0.049452677729910466
2026-03-31,0.016749185717460202
2026-04-30,0.04732257806174367
2026-05-31,-0.0020982092273768016
