timestamp,monthly_return
2022-06-30,0.001068472527574249
2022-07-31,0.0007026660574127597
2022-08-31,0.0014037739487962053
2022-09-30,0.001574178752980604
2022-10-31,0.002036678208710452
2022-11-30,0.0019296285892609344
2022-12-31,0.0019727150492594436
2023-01-31,0.0031539770488482333
2023-02-28,0.001747432968909779
2023-03-31,0.0006416178115653537
2023-04-30,0.0021036841951174168
2023-05-31,0.0021902872476553537
2023-06-30,0.0020141398939734767
2023-07-31,0.0035638942082594216
2023-08-31,0.0003322343987464116
2023-09-30,0.002322336320069729
2023-10-31,0.003525352670266768
2023-11-30,0.004723299545017046
2023-12-31,0.006082876092177614
2024-01-31,0.005925446519229327
2024-02-29,0.007580509704407268
2024-03-31,0.009294157689874183
2024-04-30,0.006476375587404215
2024-05-31,0.005012955623046267
2024-06-30,0.005618771114478394
2024-07-31,0.004030024134589194
2024-08-31,0.003252378036792569
2024-09-30,0.003071264992354994
2024-10-31,0.004053539350748592
2024-11-30,0.004256663274452954
2024-12-31,0.010630144339995429
2025-01-31,0.006143868729537427
2025-02-28,0.0027492250038043675
2025-03-31,0.001939584383773063
2025-04-30,0.002037217441374528
2025-05-31,0.0027810579923597256
2025-06-30,0.0031240266607694966
2025-07-31,0.0033527498367711406
2025-08-31,0.0034827857649259997
2025-09-30,0.0031899348933566163
2025-10-31,0.0030800238901667054
2025-11-30,0.0025064743001272927
2025-12-31,0.003324871263104656
2026-01-31,0.00205999064761464
2026-02-28,0.0008902885536137273
2026-03-31,0.002136401321735759
2026-04-30,0.003684335216171286
2026-05-31,0.002425526103471576
