timestamp,monthly_return
2022-06-30,-0.2263770366320993
2022-07-31,0.013501489062830663
2022-08-31,-0.024427115310367675
2022-09-30,-0.014441123222725172
2022-10-31,0.026347190468936077
2022-11-30,-0.033341409882574946
2022-12-31,-0.009565735675813425
2023-01-31,0.06876122486205016
2023-02-28,0.004952438471811815
2023-03-31,0.03720828525003794
2023-04-30,0.007644760517998339
2023-05-31,-0.005614927067547182
2023-06-30,0.01715502582951567
2023-07-31,-0.005426385964531932
2023-08-31,-0.0193602742479122
2023-09-30,0.008229360058393587
2023-10-31,0.037964366155612383
2023-11-30,0.022668805209946852
2023-12-31,0.023861511203771668
2024-01-31,0.0014591009804729715
2024-02-29,0.07724367924512388
2024-03-31,0.028909843640887
2024-04-30,-0.03339949719966562
2024-05-31,0.03590938428692847
2024-06-30,-0.01530592540120801
2024-07-31,-0.001311530006323336
2024-08-31,-0.028179030077441936
2024-09-30,0.010829283049006655
2024-10-31,0.007385707256878815
2024-11-30,0.07696909593124901
2024-12-31,-0.008807870933852713
2025-01-31,0.007149619527158979
2025-02-28,-0.055016076361384836
2025-03-31,-0.02015795702310985
2025-04-30,0.015704806034665397
2025-05-31,0.056172979460300976
2025-06-30,0.0031249070952907854
2025-07-31,0.053621005460861015
2025-08-31,0.016549669885305374
2025-09-30,0.0021151283417153444
2025-10-31,-0.006874112899387441
2025-11-30,-0.04000166923399062
2025-12-31,-0.0004507884451430133
2026-01-31,-0.02487617081355753
2026-02-28,-0.03406813931245234
2026-03-31,0.013326335550408963
2026-04-30,0.01942135077805096
2026-05-31,-0.004157695284812024
