timestamp,portfolio_value,cash,regime,cb_level,effective_hwm,recovery_active,var_95_1d,jump_var_95_1d,trade_volume_usd,funding_pnl_step
2022-05-24 00:00:00,992010.57216358,171920.69921031554,uncertain,0,1000000.0,False,-0.0,-0.0,820089.8729532643,0.0
2022-05-24 01:00:00,992917.9330588207,48819.8776720331,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-9.897420187455312
2022-05-24 02:00:00,993212.5216120902,48800.216825131916,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-9.897420187455312
2022-05-24 03:00:00,993697.4869381937,48780.55598374682,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-9.897420187455312
2022-05-24 04:00:00,994155.9977091383,48760.89514236172,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-9.897420187455312
2022-05-24 05:00:00,993705.3064141108,48741.234295460534,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-9.897420187455312
2022-05-24 06:00:00,993506.1917369347,48721.57344855935,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-9.897420187455312
2022-05-24 07:00:00,994342.2939864694,48701.91260717425,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-9.897420187455312
2022-05-24 08:00:00,990714.7932008915,48688.781901010276,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.632352576895228
2022-05-24 09:00:00,992932.5534402911,48675.651189330216,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.632352576895228
2022-05-24 10:00:00,993260.244336418,48662.52048316624,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.632352576895228
2022-05-24 11:00:00,992269.3279459579,48649.38977148618,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.632352576895228
2022-05-24 12:00:00,991872.6100790567,48636.25905980612,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.632352576895228
2022-05-24 13:00:00,986955.4221507603,48623.12834812606,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.632352576895228
2022-05-24 14:00:00,988309.3209675964,48609.99764196209,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.632352576895228
2022-05-24 15:00:00,992979.683105059,48596.866924765935,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.632352576895228
2022-05-24 16:00:00,992094.9754374165,48584.29822169853,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.351345512521054
2022-05-24 17:00:00,992133.9687868035,48571.72951863113,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.351345512521054
2022-05-24 18:00:00,989806.4338790196,48559.16082107982,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.351345512521054
2022-05-24 19:00:00,992599.4109136491,48546.59211801242,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.351345512521054
2022-05-24 20:00:00,993714.8209526936,48534.02342046111,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.351345512521054
2022-05-24 21:00:00,995548.8378597433,48521.4547229098,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.351345512521054
2022-05-24 22:00:00,995622.9542700483,48508.8860198424,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-6.351345512521054
