timestamp,portfolio_value,cash,regime,cb_level,effective_hwm,recovery_active,var_95_1d,jump_var_95_1d,trade_volume_usd,funding_pnl_step
2022-05-24 00:00:00,989004.4161757277,241613.17987360572,uncertain,0,1000000.0,False,-0.0,-0.0,747391.236302122,0.0
2022-05-24 01:00:00,989499.134433727,175637.6843621243,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-4.167603497691936
2022-05-24 02:00:00,989586.0281364558,175629.92170068272,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-4.167603497691936
2022-05-24 03:00:00,989904.8873139839,175622.15906783412,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-4.167603497691936
2022-05-24 04:00:00,990058.3166860273,175614.3964349855,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-4.167603497691936
2022-05-24 05:00:00,989698.343407938,175606.63377354393,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-4.167603497691936
2022-05-24 06:00:00,989569.8241786092,175598.87111210235,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-4.167603497691936
2022-05-24 07:00:00,990048.6845826369,175591.10847925374,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-4.167603497691936
2022-05-24 08:00:00,987902.0559579945,175585.9782440404,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.851404680060645
2022-05-24 09:00:00,989070.7370136565,175580.84798023407,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.851404680060645
2022-05-24 10:00:00,989377.1171954089,175575.71774502072,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.851404680060645
2022-05-24 11:00:00,988715.4225138973,175570.5874812144,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.851404680060645
2022-05-24 12:00:00,988523.639820484,175565.45721740808,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.851404680060645
2022-05-24 13:00:00,985442.0002466674,175560.32695360176,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.851404680060645
2022-05-24 14:00:00,986208.3244058802,175555.1967183884,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.851404680060645
2022-05-24 15:00:00,989014.3262242285,175550.06642598912,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.851404680060645
2022-05-24 16:00:00,988446.9532958138,175544.99580216338,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.8215703932758287
2022-05-24 17:00:00,988422.6153012412,175539.92517833764,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.8215703932758287
2022-05-24 18:00:00,987100.0574611826,175534.85458310487,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.8215703932758287
2022-05-24 19:00:00,988588.3585102931,175529.78395927913,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.8215703932758287
2022-05-24 20:00:00,989292.6821980826,175524.71336404636,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.8215703932758287
2022-05-24 21:00:00,990373.5643188463,175519.6427688136,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.8215703932758287
2022-05-24 22:00:00,990341.979008134,175514.57214498785,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.8215703932758287
2022-05-24 23:00:00,990370.1787583352,175509.50154975508,uncertain,0,1000000.0,False,-0.0,-0.0,0.0,-2.8215703932758287
2022-05-25 00:00:00,989919.2009404309,175502.7054205263,uncertain,0,1000000.0,False,4763.548827898127,8528.123389546929,0.0,-3.6843373912900983
2022-05-25 01:00:00,991129.9257145126,175495.90929129752,uncertain,0,1000000.0,False,4763.548827898127,8528.123389546929,0.0,-3.6843373912900983
2022-05-25 02:00:00,993665.9593456867,175489.1131906617,uncertain,0,1000000.0,False,4763.548827898127,8528.123389546929,0.0,-3.6843373912900983
2022-05-25 03:00:00,993816.0405949384,175482.31706143293,uncertain,0,1000000.0,False,4763.548827898127,8528.123389546929,0.0,-3.6843373912900983
2022-05-25 04:00:00,992897.7358384018,175475.52096079712,uncertain,0,1000000.0,False,4763.548827898127,8528.123389546929,0.0,-3.6843373912900983
2022-05-25 05:00:00,991120.674253316,175468.72483156834,uncertain,0,1000000.0,False,4763.548827898127,8528.123389546929,0.0,-3.6843373912900983
2022-05-25 06:00:00,990816.4022548257,175461.92873093253,uncertain,0,1000000.0,False,4763.548827898127,8528.123389546929,0.0,-3.6843373912900983
2022-05-25 07:00:00,990001.2823036318,175455.13263029672,uncertain,0,1000000.0,False,4763.548827898127,8528.123389546929,0.0,-3.6843373912900983
2022-05-25 08:00:00,990478.9590808254,175445.083812632,uncertain,0,1000000.0,False,4763.548827898127,8528.123389546929,0.0,-5.3106816092628115
2022-05-25 09:00:00,990338.9609830084,175435.03499496725,uncertain,0,1000000.0,False,4763.548827898127,8528.123389546929,0.0,-5.3106816092628115
2022-05-25 10:00:00,989274.8083999428,175424.98617730252,uncertain,0,1000000.0,False,4763.548827898127,8528.123389546929,0.0,-5.3106816092628115
2022-05-25 11:00:00,987096.405035964,175414.93735963778,uncertain,0,1000000.0,False,4763.548827898127,8528.123389546929,0.0,-5.3106816092628115
2022-05-25 12:00:00,988340.8874661681,175404.88854197305,uncertain,0,1000000.0,False,4763.548827898127,8528.123389546929,0.0,-5.3106816092628115
